date,cpi_u
2017Q1,243.838
2017Q2,244.12
2017Q3,245.287
2017Q4,247.238
2018Q1,249.254
2018Q2,250.681
2018Q3,251.77
2018Q4,252.69
2019Q1,253.292
2019Q2,255.283
2019Q3,256.225
2019Q4,257.785
2020Q1,258.618
2020Q2,256.418
2020Q3,259.437
2020Q4,260.879
2021Q1,263.524
2021Q2,268.760
2021Q3,273.163
2021Q4,278.413
2022Q1,284.607
2022Q2,291.821
2022Q3,295.884
2022Q4,299.289
2023Q1,302.448
2023Q2,305.535
2023Q3,308.522
2023Q4,311.218
2024Q1,313.446
2024Q2,315.355
2024Q3,317.119
2024Q4,318.802
2025Q1,320.534
2025Q2,322.229
2025Q3,323.907
2025Q4,325.590
2026Q1,327.231
2026Q2,328.868
2026Q3,330.513
2026Q4,332.179
2027Q1,333.870
2027Q2,335.595
2027Q3,337.357
2027Q4,339.163
2028Q1,341.011
2028Q2,342.887
2028Q3,344.789
2028Q4,346.714
2029Q1,348.655
2029Q2,350.610
2029Q3,352.580
2029Q4,354.565
2030Q1,356.560
2030Q2,358.568
2030Q3,360.587
2030Q4,362.618
