"CPI value",Notes,US,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
,2009/11/01,2.13,7.25,2.13,2.63,4.25,8,4.22,5.52,2.77,2.23,4.23,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2009/12/01,2.13,7.25,2.13,2.63,4.25,8,4.22,5.52,2.77,2.23,4.23,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2010/01/01,2.13,7.75,2.13,2.63,4.25,8,4.26,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2010/02/01,2.13,7.75,2.13,2.63,4.25,8,4.26,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2010/03/01,2.13,7.75,2.13,2.63,4.25,8,4.26,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2010/04/01,2.13,7.75,2.13,2.63,4.25,8,4.26,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2010/05/01,2.13,7.75,2.13,2.63,4.25,8,4.26,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2010/06/01,2.13,7.75,2.13,2.63,4.25,8,4.26,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.8,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2010/07/01,2.13,7.75,2.13,2.63,4.25,8,4.26,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.95,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2010/08/01,2.13,7.75,2.13,2.63,4.25,8,4.26,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.95,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2010/09/01,2.13,7.75,2.13,2.63,4.25,8,4.26,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.95,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2010/10/01,2.13,7.75,2.13,2.63,4.25,8,4.26,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.95,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2010/11/01,2.13,7.75,2.13,2.63,4.25,8,4.26,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.95,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2010/12/01,2.13,7.75,2.13,2.63,4.25,8,4.26,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.95,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.25,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,4.65,3.65,2.13,8.4,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.9091,8.55,2.33,5.800000000000001,2.13
,2011/01/01,2.13,7.75,2.13,2.63,4.35,8,4.34,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.95,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.35,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,5,3.7,2.13,8.5,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.95275,8.67,2.33,5.800000000000001,2.13
,2011/02/01,2.13,7.75,2.13,2.63,4.35,8,4.34,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.95,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.35,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,5,3.7,2.13,8.5,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.95275,8.67,2.33,5.800000000000001,2.13
,2011/03/01,2.13,7.75,2.13,2.63,4.35,8,4.34,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.95,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.35,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,5,3.7,2.13,8.5,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.95275,8.67,2.33,5.800000000000001,2.13
,2011/04/01,2.13,7.75,2.13,2.63,4.35,8,4.34,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.95,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.35,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,5,3.7,2.13,8.5,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.95275,8.67,2.33,5.800000000000001,2.13
,2011/05/01,2.13,7.75,2.13,2.63,4.35,8,4.34,5.69,2.77,2.23,4.23,2.13,7,4.35,3.35,4.95,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.35,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,5,3.7,2.13,8.5,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.95275,8.67,2.33,5.800000000000001,2.13
,2011/06/01,2.13,7.75,2.13,2.63,4.35,8,4.34,5.69,2.77,2.23,4.289999999999999,2.13,7,4.35,3.35,4.95,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.35,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,5,3.7,2.13,8.5,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.95275,8.67,2.33,5.800000000000001,2.13
,2011/07/01,2.13,7.75,2.13,2.63,4.35,8,4.34,5.69,2.77,2.23,4.289999999999999,2.13,7,4.35,3.35,4.95,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.35,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,5,3.7,2.13,8.5,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.95275,8.67,2.33,5.800000000000001,2.13
,2011/08/01,2.13,7.75,2.13,2.63,4.35,8,4.34,5.69,2.77,2.23,4.289999999999999,2.13,7,4.35,3.35,4.95,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.35,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,5,3.7,2.13,8.5,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.95275,8.67,2.33,5.800000000000001,2.13
,2011/09/01,2.13,7.75,2.13,2.63,4.35,8,4.34,5.69,2.77,2.23,4.289999999999999,2.13,7,4.35,3.35,4.95,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.35,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,5,3.7,2.13,8.5,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.95275,8.67,2.33,5.800000000000001,2.13
,2011/10/01,2.13,7.75,2.13,2.63,4.35,8,4.34,5.69,2.77,2.23,4.289999999999999,2.13,7,4.35,3.35,4.95,2.13,2.13,2.13,2.13,2.63,3.625,3.75,2.65,7.25,3.627,2.13,7.35,2.13,4.8575,2.13,3.2625,2.13,2.13,7.25,5,3.7,2.13,8.5,2.83,2.89,2.13,2.13,2.13,2.13,2.13,2.13,3.95275,8.67,2.33,5.800000000000001,2.13
